id,symbol,name,genesis_date,market_cap,market_rank,change_one_year,ath,ath_date,atl,atl_date,change_price,atl_market_value,atl_market_value_date,ath_market_value,ath_market_value_date,change_market_value,total_supply,current_price
dash,dash,Dash,,1360061356,91,19.96,1493.590000000000,2017-12-20T00:00:00.000Z,0.213899000000,2014-02-14T00:00:00.000Z,0.00,0.00,,0.00,,0.00,18920000,129.690000
link,ln,LINK,,1346736047,92,1563.75,345.880000000000,2021-04-01T22:19:00.034Z,1.050000000000,2018-12-26T00:00:00.000Z,0.00,0.00,,0.00,,0.00,6045959,225.110000
true-usd,tusd,TrueUSD,,1335955052,93,0.03,1.620000000000,2018-08-26T20:41:09.375Z,0.883550000000,2020-03-12T10:47:51.380Z,0.00,0.00,,0.00,,0.00,1337116187,0.998938
holotoken,hot,Holo,,1335824937,94,1114.20,0.031266820000,2021-04-05T16:04:52.608Z,0.000220200000,2020-03-13T02:23:01.612Z,14099.28,0.00,,0.00,,0.00,177619433541,0.007503
compound-governance-token,comp,Compound,,1306973919,95,17.10,910.540000000000,2021-05-12T02:29:08.794Z,61.320000000000,2020-06-18T12:54:32.788Z,1384.90,0.00,,0.00,,0.00,10000000,208.240000
msol,msol,Marinade staked SOL,,1266847420,96,0.00,3541.840000000000,2021-08-23T22:16:35.076Z,42.400000000000,2021-08-30T10:27:09.425Z,8253.40,0.00,,0.00,,0.00,7072864,179.110000
nexo,nexo,NEXO,,1259703164,97,225.61,4.070000000000,2021-05-12T14:37:47.535Z,0.045152760000,2018-09-13T00:00:00.000Z,0.00,0.00,,0.00,,0.00,1000000000,2.250000
nem,xem,NEM,,1169549511,98,-53.58,1.870000000000,2018-01-07T00:00:00.000Z,0.000084820000,2015-09-05T00:00:00.000Z,0.00,0.00,,0.00,,0.00,8999999999,0.129522
paxos-standard,usdp,Pax Dollar,,1165674797,99,-0.34,1.130000000000,2018-10-15T07:09:12.459Z,0.863529000000,2021-05-19T13:14:42.046Z,0.00,0.00,,0.00,,0.00,1166685632,0.995680
yearn-finance,yfi,yearn.finance,,1152684320,100,21.28,90787.000000000000,2021-05-12T00:29:37.713Z,31.650000000000,2020-07-18T12:26:27.150Z,286746.76,0.00,,0.00,,0.00,36666,32290.000000
